tag,id,name,classes,text,xpath
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[8]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[8]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[8]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[9]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[9]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[9]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[10]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[10]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[10]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[11]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[11]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[11]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[12]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[12]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[12]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[13]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[13]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[13]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[14]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[14]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[14]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[15]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[15]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[15]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[16]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[16]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[16]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[17]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[17]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[17]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[18]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[18]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[18]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[19]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[19]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[19]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[20]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[20]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[20]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[21]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[21]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[21]/div/div[2]/ul/li/a"
